                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 1.1145,                 1.0555,                 1.7057,                0.91954,                0.78238,                0.83741,                0.50144,                 1.3483,                0.90292,                 1.9347,              0.0006172,              0.0006172,              0.0006172
                    119,                  1.115,                 1.0628,                 1.7046,                0.83098,                0.70466,                0.79004,                0.49748,                 1.3418,                 1.1764,                 1.8578,              0.0006139,              0.0006139,              0.0006139
                    120,                 1.0832,                 1.0299,                 1.6876,                0.86346,                0.73575,                0.80637,                0.52486,                 1.2387,                0.99265,                 1.8021,              0.0006106,              0.0006106,              0.0006106
                    121,                 1.0985,                 1.0368,                 1.7001,                0.87399,                0.76166,                0.82207,                0.54585,                 1.2314,                0.95526,                 1.7782,              0.0006073,              0.0006073,              0.0006073
                    122,                  1.098,                 1.0318,                 1.7083,                0.80709,                0.78238,                0.80587,                0.52563,                 1.2373,                 1.0288,                 1.7898,               0.000604,               0.000604,               0.000604
                    123,                 1.0938,                 1.0486,                 1.7015,                0.85052,                0.76654,                0.82928,                0.53559,                 1.2655,                 0.9972,                 1.8076,              0.0006007,              0.0006007,              0.0006007
                    124,                 1.0756,                 1.0104,                 1.6709,                0.86959,                0.72556,                0.80307,                0.51567,                  1.277,                 1.0357,                 1.8209,              0.0005974,              0.0005974,              0.0005974
                    125,                 1.0983,                 1.0378,                 1.6917,                0.94055,                0.77202,                0.84315,                0.54555,                 1.2775,                0.91462,                 1.8451,              0.0005941,              0.0005941,              0.0005941
                    126,                 1.1083,                 1.0411,                 1.6941,                0.87876,                0.73057,                 0.8328,                0.53194,                 1.2436,                0.98517,                 1.8102,              0.0005908,              0.0005908,              0.0005908
                    127,                 1.1105,                 1.0401,                 1.7043,                0.86256,                0.76166,                0.84595,                0.53676,                 1.3011,                0.96712,                 1.8617,              0.0005875,              0.0005875,              0.0005875
                    128,                  1.107,                 1.0246,                 1.6922,                0.89117,                0.73575,                 0.8272,                0.52561,                 1.3138,                0.98996,                 1.8487,              0.0005842,              0.0005842,              0.0005842
                    129,                 1.1125,                 1.0613,                 1.7104,                0.88924,                 0.7513,                0.80821,                 0.5158,                 1.3396,                0.98915,                 1.8787,              0.0005809,              0.0005809,              0.0005809
                    130,                  1.098,                 1.0084,                 1.6885,                0.89684,                0.76684,                0.82713,                0.52824,                 1.2988,                0.97503,                  1.839,              0.0005776,              0.0005776,              0.0005776
